max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
5	0.01	1	2	100
5	0.01	1	2	200
5	0.01	1	5	100
5	0.01	1	5	200
5	0.01	5	2	100
5	0.01	5	2	200
5	0.01	5	5	100
5	0.01	5	5	200
5	0.1	1	2	100
5	0.1	1	2	200
5	0.1	1	5	100
5	0.1	1	5	200
5	0.1	5	2	100
5	0.1	5	2	200
5	0.1	5	5	100
5	0.1	5	5	200
10	0.01	1	2	100
10	0.01	1	2	200
10	0.01	1	5	100
10	0.01	1	5	200
10	0.01	5	2	100
10	0.01	5	2	200
10	0.01	5	5	100
10	0.01	5	5	200
10	0.1	1	2	100
10	0.1	1	2	200
10	0.1	1	5	100
10	0.1	1	5	200
10	0.1	5	2	100
10	0.1	5	2	200
10	0.1	5	5	100
10	0.1	5	5	200
